Id,SalePrice
1461,125003.6250813601
1462,153459.35064706928
1463,182452.46459013812
1464,185763.74512834995
1465,193684.460978352
1466,184002.10732878544
1467,170799.66564568834
1468,176954.71742113787
1469,183248.0449250472
1470,127216.0547223007
1471,204360.15333107437
1472,101248.62834557942
1473,106028.30634227316
1474,154502.42326673842
1475,125987.30557199109
1476,334777.5209987204
1477,249371.34664951504
1478,297940.40512831334
1479,296588.55753514677
1480,387472.110300174
1481,305849.1271901604
1482,206756.49868356463
1483,188707.9272541056
1484,177428.29086500822
1485,179914.73685116917
1486,198919.29978334517
1487,300566.12186963775
1488,240647.61725643836
1489,197871.57426493382
1490,217103.29867653977
1491,197026.71948480819
1492,103273.2887711824
1493,179792.88611625682
1494,286376.97093642276
1495,282665.3147703982
1496,230285.2870705826
1497,185613.59348886658
1498,162460.81392006125
1499,161250.83206905838
1500,160671.18476926337
1501,169987.83446774317
1502,167418.29596186167
1503,260167.59496744524
1504,221637.0074241498
1505,218034.30414422383
1506,182455.0893324165
1507,233983.2393870827
1508,190933.79806624705
1509,159351.25873538823
1510,148916.20949885872
1511,148531.135649264
1512,171043.88665838726
1513,150254.31347018757
1514,152774.0997265116
1515,184092.04409672233
1516,152260.3389413809
1517,151668.42209620203
1518,143077.35345776656
1519,223058.95191373114
1520,138450.34291854405
1521,140917.9699350809
1522,162793.1056584155
1523,119917.28871813434
1524,121180.26941123953
1525,126158.37436069186
1526,125963.12474235996
1527,111373.15149567774
1528,126781.72661553783
1529,141572.7289033642
1530,166042.7922123023
1531,134793.2772161905
1532,103783.3552860421
1533,141214.2757918075
1534,119281.47758514581
1535,151483.5914570527
1536,121409.22513995072
1537,97784.6836165892
1538,144708.8440421916
1539,182193.50948759247
1540,123486.51244551684
1541,139897.0239415618
1542,138794.25182634083
1543,173608.90586042142
1544,88422.93079245747
1545,106233.78632897811
1546,121959.25647257303
1547,132577.4190681918
1548,125627.44626268218
1549,113560.83235528262
1550,140213.3212382416
1551,122292.94976254612
1552,146935.58373048622
1553,133943.4998194363
1554,115096.78954635323
1555,164372.42221026562
1556,99985.4780436556
1557,118493.64500066344
1558,101659.38507834957
1559,115351.2378326472
1560,140050.69876636003
1561,141892.18936101944
1562,127462.68891505641
1563,122767.4183717336
1564,161940.00857332876
1565,153568.97926207507
1566,204751.3683764223
1567,93063.88540123779
1568,212306.84818210467
1569,158800.17125587974
1570,137476.66553544565
1571,127285.09057221479
1572,143401.03903732877
1573,226654.54793548989
1574,134390.5438213482
1575,199896.69315721898
1576,224839.27368908728
1577,193143.21815269793
1578,143224.40871302728
1579,144307.88365776883
1580,192258.1664571824
1581,136791.45563177895
1582,127841.2023118464
1583,315803.4621618163
1584,232896.4027690301
1585,146083.3650896098
1586,92565.0457790774
1587,112120.8240537487
1588,141501.63749024688
1589,108510.0635873189
1590,134224.59657063297
1591,102601.36193333454
1592,131621.19336061136
1593,118733.53214602245
1594,127542.34972040333
1595,131426.4081885003
1596,198787.89711056408
1597,170384.13467864587
1598,182435.32184684282
1599,166494.4515059916
1600,180767.99472269198
1601,86352.18021929945
1602,115240.0650841191
1603,103436.49407540234
1604,266174.7584410607
1605,240148.8218669164
1606,162808.01585527198
1607,166861.98627420448
1608,213859.67823256418
1609,190241.29284667474
1610,161902.7802073337
1611,149090.8785279532
1612,189931.97294544778
1613,179199.1010637175
1614,120969.62590141626
1615,94667.82258321717
1616,89559.73388269886
1617,100329.82558065974
1618,123678.80408004113
1619,136090.8833673942
1620,177542.61608961027
1621,142543.72563556142
1622,142912.9085237462
1623,256648.74359619673
1624,219173.04925310498
1625,127534.62239004321
1626,168727.46859072882
1627,187003.5208604294
1628,261492.28073194937
1629,174269.98429876403
1630,296895.8588936985
1631,196185.54622047077
1632,228797.16586355193
1633,172779.7442389865
1634,186985.4410705977
1635,182133.19103264844
1636,169843.2751375751
1637,183656.578634836
1638,197999.47579721178
1639,185561.7419966154
1640,232737.86969245723
1641,178065.3645424824
1642,216800.1352046588
1643,218528.8994830964
1644,217965.36764505206
1645,184009.96382597045
1646,156642.0310049846
1647,160889.04833620825
1648,142323.06174864454
1649,137923.04112359433
1650,124053.41416808395
1651,123323.24098274244
1652,101276.21170081582
1653,101238.8863559978
1654,157240.08076869408
1655,148353.11645600284
1656,151781.40078208645
1657,155926.64665144272
1658,156962.79074107192
1659,127838.46690501338
1660,149792.578554565
1661,383560.791937166
1662,315638.9247427804
1663,357430.7027472686
1664,382455.1612295481
1665,303426.5579703797
1666,313746.6086072351
1667,329016.2209545869
1668,319560.4363931643
1669,280483.3985206959
1670,325425.5120395785
1671,265540.9026211111
1672,375708.73264133924
1673,289992.89426467963
1674,249901.76224804716
1675,197081.72124097415
1676,196520.5767672471
1677,205833.63510811544
1678,377741.25475285645
1679,371437.2597334336
1680,296239.44154971646
1681,236523.0220419066
1682,305429.8363696293
1683,195545.64146481096
1684,185272.38080108294
1685,182428.92644806876
1686,184264.56262266438
1687,175998.29887271876
1688,194071.00114251682
1689,194599.87043563672
1690,189129.76638389603
1691,180854.34011011088
1692,242670.54563103936
1693,174119.09479443968
1694,182847.8576754131
1695,170491.53561562565
1696,258119.54689721076
1697,168194.40188538903
1698,316836.91888075194
1699,314064.0922142535
1700,239035.5078392314
1701,261217.58939041928
